X,Y
"Установка для переработки ржи в солод включает солодовню.","установка для переработки ржи в солод; солодовня;"
"Частотный преобразователь в шкафу управления изменяет скорость вращения насоса, поддерживая постоянное давление в системе водопитания.","частотный преобразователь; шкаф управления; скорость вращения; насос; давление; водопитание;"
"Вихревой теплогенератор имеет цилиндрический корпус с тангенциальным вводом и вихревую трубу с тормозным органом.","вихревой теплогенератор; цилиндрический корпус; тангенциальный ввод; вихревая труба; тормозной орган;"
"Гребенка для радиаторного отопления с кранами и воздухоотводчиками собирает теплоноситель от стояков и распределяет его по приборам отопления этажа или квартиры.","гребенка; радиаторное отопление; кран; воздухоотводчик; теплоноситель; стояк; прибор отопления;"
"В камере тепла и холода образцы выдерживаются при экстремальных температурах для проверки работоспособности.","камера; тепло; холод; образец; температура; работоспособность;"
"Композиция ингибитора коррозии для кислых сред содержит азотсодержащее гетероциклическое соединение.","азотсодержащее гетероциклическое соединение;"
"Доильный аппарат для машинного доения коров включает пульсатор, коллектор, доильные стаканы и молокопровод.","доильный аппарат; машинное доение; коровы; пульсатор; коллектор; доильные стаканы; молокопровод;"
"Устройство для защиты от протечек воды включает датчик протечки, электромагнитный клапан и контроллер.","устройство для защиты от протечек воды; датчик протечки; электромагнитный клапан; контроллер;"
"Импедансметр для измерения электрохимического импеданса систем содержит генератор переменного напряжения и измеритель тока и фазы.","импедансметр; измерение электрохимического импеданса; генератор переменного напряжения; измеритель тока и фазы;"
"Частотомер для измерения частоты электрических колебаний.","частотомер; частота; электрическое колебание;"
"Питатель сырого угля ленточного типа содержит ленту с приводом, бункер с шибером и очистное устройство.","питатель сырого угля; ленточный тип; лента; привод; бункер; шибер; очистное устройство;"
"Установка для депарафинизации масляных фракций с использованием кристаллизаторов и вакуум-фильтров с предварительным охлаждением.","кристаллизаторы; вакуум-фильтры с предварительным охлаждением;"
"Микробиологический анализатор для автоматического определения чувствительности микроорганизмов к антибиотикам включает инкубатор и оптическую систему регистрации.","микробиологический анализатор; автоматическое определение чувствительности микроорганизмов к антибиотикам; инкубатор; оптическую систему регистрации;"
"Стенд для испытания клапанов включает источник давления и измерительную аппаратуру.","стенд для испытания клапанов; источник давления; измерительная аппаратура;"
"Воздуховод из пластика для систем вентиляции в химических производствах включает элементы из полипропилена или ПВХ.","воздуховод из пластика; элементы из полипропилена; элементы из ПВХ;"
"Система автоматического управления вспучиванием включает печь вспучивания.","система автоматического управления вспучиванием; печь вспучивания;"
"Тягонапоромер для измерения тяги и давления в газовоздушных трактах котлов и печей содержит мембранный короб и передаточный механизм.","тягонапоромер; мембранный короб; передаточный механизм;"
"Способ производства сгущенного молока включает выпаривание влаги из молока в вакуум-выпарной установке.","способ производства сгущенного молока; выпаривание влаги из молока; вакуум-выпарная установка;"
"Газовый счетчик мембранный для учета расхода газа включает измерительные камеры с мембранами, клапанный механизм и счетный механизм.","газовый счетчик; мембранный счетчик; измерительная камера; мембрана; клапанный механизм; счетный механизм;"
"Кожухотрубный конденсатор паровой турбины содержит пучок прямых труб, развальцованных в трубных досках, и систему перегородок в паровом пространстве.","кожухотрубный конденсатор; паровая турбина; пучок прямых труб; трубная доска; перегородка; паровое пространство;"
"Канат стальной двойной свивки с органическим сердечником.","канат стальной; двойная свивка; органический сердечник;"
"Устройство для измерения мутности воды включает нефелометр.","устройство для измерения мутности воды; нефелометр;"
"Ультразвуковой датчик уровня бесконтактно измеряет уровень жидкости в емкости.","ультразвуковой датчик уровня; бесконтактное измерение уровня жидкости;"
"Цепь масляного насоса, приводная цепь.","цепь; масляный насос; приводная цепь;"
"Композиция бурового раствора для бурения в зонах с высоким содержанием глины и солей с аномально высокими давлениями содержит ингибитор набухания глин на основе калия, ингибитор солеотложений, полимерный загуститель, смазывающую добавку и утяжелитель.","ингибитор набухания глин на основе калия; ингибитор солеотложений; полимерный загуститель; смазывающая добавка; утяжелитель;"
"Электродный датчик уровня для проводящих жидкостей сигнализирует о достижении предельных уровней.","электродный датчик; уровень; проводящая жидкость; предельный уровень;"
"Контроллер заряда для аккумуляторных батарей в солнечных системах включает схему управления и защиты от перезаряда и глубокого разряда.","контроллер заряда; схема управления; защита от перезаряда; защита от глубокого разряда;"
"Герметизация штока в запорно-регулирующем клапане для работы при высоких температурах выполняется сальниковым уплотнением из терморасширенного графита.","герметизация; шток; запорно-регулирующий клапан; высокая температура; сальниковое уплотнение; терморасширенный графит;"
"Датчик влажности для измерения влажности воздуха в воздуховоде включает емкостный или резистивный чувствительный элемент.","датчик влажности; емкостный чувствительный элемент; резистивный чувствительный элемент;"
"Система охлаждения двигателя содержит радиатор, вентилятор, термостат, водяной насос и расширительный бачок.","система охлаждения двигателя; радиатор; вентилятор; термостат; водяной насос; расширительный бачок;"
"Вентилятор центробежного типа содержит рабочее колесо с лопатками, спиральный корпус, приводной вал, подшипники и защитный кожух.","вентилятор центробежного типа; рабочее колесо; лопатка; спиральный корпус; приводной вал; подшипник; защитный кожух;"
"Аккумуляторная батарея необслуживаемая с пластинами и электролитом.","аккумуляторная батарея; необслуживаемая батарея; пластина; электролит;"
"Установка для регенерации отработанного масла с использованием селективных растворителей и отбеливающих глин с последующей вакуумной перегонкой.","селективные растворители; отбеливающие глины; вакуумная перегонка;"
"Дисковый затвор с эксцентриковым валом обеспечивает герметичное перекрытие потока за счет прижатия диска к эластичному седлу.","дисковый затвор; эксцентриковый вал; герметичность; перекрытие потока; диск; эластичное седло;"
"Набор для выделения нуклеиновых кислот включает лизирующий буфер, промывочные буферы, элюирующий буфер и колонки с мембраной.","набор для выделения нуклеиновых кислот; лизирующий буфер; промывочные буферы; элюирующий буфер; колонки с мембраной;"
"Устройство для измерения уровня нефти в резервуаре с использованием радарного уровнемера с направляющей антенной.","радарный уровнемер с направляющей антенной;"
"Изменение геометрии соплового аппарата турбокомпрессора позволяет оптимизировать давление наддува во всем диапазоне оборотов двигателя.","геометрия; сопловой аппарат; турбокомпрессор; давление наддува; обороты; двигатель;"
"Холодильник лабораторный для хранения реагентов и образцов при +4°C включает холодильный агрегат и теплоизолированный корпус.","холодильник лабораторный; хранение реагентов; хранение образцов; холодильный агрегат; теплоизолированный корпус;"
"Гомогенизатор молока клапанного типа для дробления жировых шариков включает плунжерный насос и гомогенизирующую головку с кольцевым клапаном.","гомогенизатор молока клапанного типа; плунжерный насос; гомогенизирующая головка с кольцевым клапаном;"
"Установка для переработки эрики в масло включает экстрактор.","установка для переработки эрики в масло; экстрактор;"
"Глушитель шума трубчатого типа для круглых воздуховодов включает корпус с перфорированной трубой и слоем звукопоглощающего материала.","глушитель шума трубчатого типа; корпус с перфорированной трубой; слой звукопоглощающего материала;"
"Способ определения содержания кислорода в газе включает электрохимический датчик с жидким электролитом.","электрохимический датчик с жидким электролитом;"
"Клапан быстрого выхлопа для пневмопривода, тарельчатый запорный элемент.","клапан быстрого выхлопа; пневмопривод; тарельчатый запорный элемент;"
"Система вентиляции с рекуперацией тепла содержит приточный и вытяжной вентиляторы, пластинчатый теплообменник и фильтры.","система вентиляции с рекуперацией тепла; приточный вентилятор; вытяжной вентилятор; пластинчатый теплообменник; фильтр;"
"Процессор для обработки рентгеновской пленки включает баки с проявляющим и фиксирующим растворами и сушильное устройство.","процессор; баки с проявляющим раствором; баки с фиксирующим раствором; сушильное устройство;"
"Станок лазерной резки с ЧПУ состоит из лазерного генератора, системы фокусировки луча, координатного стола и системы удаления продуктов резки.","станок лазерной резки с ЧПУ; лазерный генератор; система фокусировки луча; координатный стол; система удаления продуктов резки;"
"Подшипник ступицы двухрядный радиально-упорный.","подшипник ступицы; двухрядный подшипник; радиально-упорный подшипник;"
"Гидропневматический бак для систем пожаротушения содержит корпус с водяной и воздушной полостями, разделенными мембраной.","гидропневматический бак; пожаротушение; корпус; водяная полость; воздушная полость; мембрана;"
"Демпферная лента для компенсации теплового расширения стяжки теплого пола включает полосу вспененного полиэтилена с клеевым слоем.","демпферная лента; компенсация теплового расширения; стяжка теплого пола; полоса вспененного полиэтилена с клеевым слоем;"
"В трехэксцентриковом дисковом затворе герметичность при высоких температурах достигается за счет металлического седла и особой формы уплотнительных поверхностей диска.","трехэксцентриковый дисковый затвор; герметичность; высокая температура; металлическое седло; уплотнительная поверхность; диск;"
"Система автоматического управления освещением лестничной клетки включает акустические реле и датчики движения.","система автоматического управления освещением лестничной клетки; акустическое реле; датчик движения;"
"Газовый клапан регулирующий с кулачковым приводом для точной настройки расхода газа.","кулачковый привод;"
"Пластинчатый охладитель масла состоит из пакета пластин с масляными и водяными каналами и турбулизаторами.","пластинчатый охладитель; масло; пластина; масляный канал; водяной канал; турбулизатор;"
"Подогреватель низкого давления для подогрева конденсата перед деаэратором включает кожухотрубный или пластинчатый теплообменник.","подогреватель низкого давления; подогрев конденсата; перед деаэратором; кожухотрубный теплообменник; пластинчатый теплообменник;"
"Хлебопекарная печь для выпечки хлебобулочных изделий включает пекарную камеру с системой обогрева и увлажнения и посадочное устройство.","хлебопекарная печь; пекарная камера; система обогрева; система увлажнения; посадочное устройство;"
"Микроскоп биологический для изучения микроорганизмов и клеток включает объектив, окуляр и осветитель.","микроскоп биологический; изучение микроорганизмов; изучение клеток; объектив; окуляр; осветитель;"
"Установка для деасфальтизации гудрона пропаном с использованием экстракционной колонны с насадкой и сепаратора высокого давления.","экстракционная колонна с насадкой; сепаратор высокого давления;"
"Шестеренный насос с шевронными зубьями отличается плавной работой и низким уровнем шума при перекачке масла.","шестеренный насос; шевронный зуб; плавность; уровень шума; масло;"
"Рычаг подвески алюминиевый с сайлентблоками.","рычаг подвески; алюминиевый рычаг; сайлентблок;"
"Устройство для измерения уровня нефти в резервуаре с использованием радарного уровнемера с параболической антенной и системой температурной компенсации, самодиагностикой и защитой от ложных эхо-сигналов.","радарный уровнемер с параболической антенной; система температурной компенсации; самодиагностика; защита от ложных эхо-сигналов;"
"Станок лазерной резки с ЧПУ состоит из лазерного генератора, системы фокусировки луча, координатного стола и системы удаления продуктов резки.","станок лазерной резки с ЧПУ; лазерный генератор; система фокусировки луча; координатный стол; система удаления продуктов резки;"
"Ресивер воздушный горизонтальный для компрессорной станции, предохранительный клапан.","ресивер воздушный; горизонтальный ресивер; компрессорная станция; предохранительный клапан;"
"Прием сигналов от пожарных извещателей и формирование команд на запуск систем оповещения и пожаротушения возложены на пульт управления.","сигнал; пожарный извещатель; команда; оповещение; пожаротушение; пульт управления;"
"Силовой конденсатор с полипропиленовой пленкой и самовосстанавливающимся покрытием предназначен для коррекции коэффициента мощности.","силовой конденсатор; полипропиленовая пленка; самовосстанавливающееся покрытие; коррекция; коэффициент мощности;"
"Установка для переработки стекла в стеклобой включает молотковую дробилку.","установка для переработки стекла в стеклобой; молотковая дробилка;"
"Задвижка шиберная для трубопроводов с вязкими средами имеет корпус с седлом и ножевой затвор с острым краем.","задвижка; шиберная задвижка; трубопровод; вязкая среда; корпус; седло; ножевой затвор;"
"Предотвращение парафинизации дизельного топлива в зимнее время и сбор отделившихся воды и грязи в отстойнике — функции топливного сепаратора с подогревом.","парафинизация; дизельное топливо; зима; вода; грязь; отстойник; топливный сепаратор; подогрев;"
"Магнитный фильтр для теплоносителя улавливает ферромагнитные частицы (продукты износа труб и оборудования), предотвращая их попадание в циркуляционные насосы и теплообменники.","фильтр; магнитный фильтр; теплоноситель; ферромагнитная частица; продукт износа; труба; оборудование; циркуляционный насос; теплообменник;"
"Топливная рампа системы Common Rail служит аккумулятором и распределителем топлива, на ней закреплены регулятор давления, датчик давления и форсунки.","топливная рампа; система Common Rail; аккумулятор; распределитель; топливо; регулятор давления; датчик давления; форсунка;"
"Температурные расширения в кожухотрубном теплообменнике компенсируются за счет U-образных труб или плавающей головки.","температурное расширение; кожухотрубный теплообменник; U-образная труба; плавающая головка;"
"Бумажная хроматография для разделения веществ включает хроматографическую бумагу и камеру с растворителем.","бумажная хроматография; хроматографическая бумага; камера с растворителем;"
"Композиция жидкости для гидроразрыва пласта на водной основе содержит гель на основе гуара, сшиватель на основе бора, деструктор на основе персульфата и стабилизатор глины.","гель на основе гуара; сшиватель на основе бора; деструктор на основе персульфата; стабилизатор глины;"
"Компрессорная установка для сжатия и подачи газов включает компрессор, приводной двигатель, системы охлаждения и смазки.","компрессорная установка; компрессор; приводной двигатель; система охлаждения; система смазки;"
"Стояночный тормоз механический с тросовым приводом и тормозными колодками.","стояночный тормоз; механический тормоз; тросовый привод; тормозная колодка;"
"Датчик температуры охлаждающей жидкости с термистором.","датчик температуры охлаждающей жидкости; термистор;"
"Частотомер для измерения частоты электрических колебаний имеет входной формирователь и счетчик импульсов.","частотомер; измерение частоты; электрические колебания; входной формирователь; счетчик импульсов;"
"Мембранный бак для отопления содержит корпус, эластичную мембрану, водяную и воздушную полости с ниппелем.","мембранный бак; отопление; корпус; эластичная мембрана; водяная полость; воздушная полость; ниппель;"
"Лиофильная сушка для удаления влаги из биологических образцов при низких температурах в вакууме содержит сублимационную камеру, вакуумный насос и систему охлаждения.","лиофильная сушка; удаление влаги; биологический образец; низкая температура; вакуум; сублимационная камера; вакуумный насос; система охлаждения;"
"Делитель напряжения для измерения высоких напряжений.","делитель напряжения; высокое напряжение;"
"Система автоматического управления коалесценцией включает коалесцер.","система автоматического управления коалесценцией; коалесцер;"
"Установка для стабилизации конденсата с получением товарного продукта включает ректификационную колонну и холодильник.","ректификационная колонна; холодильник;"
"Тандемный главный тормозной цилиндр имеет две последовательные секции для создания давления в независимых контурах.","тандемный цилиндр; главный тормозной цилиндр; секция; давление; независимый контур;"
"Топливопровод высокого давления стальной бесшовный, на концах имеет развальцовку под ниппель.","топливопровод; высокое давление; сталь; бесшовный трубопровод; развальцовка; ниппель;"
"Дробеструйная установка включает дробеметный аппарат и камеру для очистки деталей.","дробеструйная установка; дробеметный аппарат; камера для очистки деталей;"
"Установка для производства метанола из природного газа с использованием парового риформинга, синтеза в реакторе с кипящим слоем катализатора и выносным теплообменником, ректификации метанола-сырца, очистки продувочных газов и утилизации тепла, с системой автоматизации и резервированием, с диспетчерской и архивированием, с безопасностью и управлением.","паровой риформинг; реактор с кипящим слоем катализатора; выносной теплообменник; ректификация метанола-сырца; очистка продувочных газов; утилизация тепла; система автоматизации; резервирование; диспетчерская; архивирование; безопасность; управление;"
"Сильфонный компенсатор состоит из двух сильфонов, промежуточной опоры и присоединительных патрубков.","сильфонный компенсатор; сильфон; промежуточная опора; присоединительный патрубок;"
"Вентиляторная градирня с полимерным оросителем и каплеуловителем охлаждает оборотную воду в промышленных циклах.","вентиляторная градирня; полимерный ороситель; каплеуловитель; оборотная вода; промышленный цикл;"
"Вибростенд для испытаний включает вибровозбудитель и усилитель мощности.","вибростенд для испытаний; вибровозбудитель; усилитель мощности;"
"Парофазный анализатор для газовой хроматографии для анализа летучих компонентов в жидких и твердых пробах включает термостатируемую камеру для образцов и систему дозирования пара.","парофазный анализатор; термостатируемая камера для образцов; система дозирования пара;"
"Устройство для измерения освещенности в теплице включает люксметр с выносным датчиком.","устройство для измерения освещенности в теплице; люксметр с выносным датчиком;"
"Компенсатор температурного расширения для трубопроводов из нержавеющей стали сильфонного типа.","компенсатор температурного расширения; трубопроводы из нержавеющей стали; сильфонный тип;"
"Ethernet-модуль для управления вентиляцией через локальную сеть и интернет включает сетевой контроллер и веб-интерфейс.","Ethernet-модуль; управление вентиляцией; локальная сеть; интернет; сетевой контроллер; веб-интерфейс;"
"Капиллярная колонка для газового хроматографа включает кварцевую трубку с нанесенной на внутреннюю поверхность неподвижной фазой.","капиллярная колонка; газовый хроматограф; кварцевую трубку; неподвижная фаза на внутренней поверхности;"
"Лямбда-зонд с нагревателем и защитным экраном.","лямбда-зонд; нагреватель; защитный экран;"
"Ультразвуковая мойка для очистки инструментов включает ванну с ультразвуковыми излучателями.","ультразвуковая мойка; ванна с ультразвуковыми излучателями;"
"Для принудительного удаления дыма при пожаре применяется центробежный вентилятор, крыльчатка которого выполнена из нержавеющей стали, а корпус защищен жаростойким покрытием.","принудительное удаление; дым; пожар; центробежный вентилятор; крыльчатка; нержавеющая сталь; корпус; жаростойкое покрытие;"
"Установка для производства битума окислением гудрона в колонне с воздухораспределительными форсунками и системой автоматического регулирования температуры и расхода воздуха с коррекцией по качеству битума.","воздухораспределительные форсунки; система автоматического регулирования температуры и расхода воздуха; коррекция по качеству битума;"
"Блок управления подушками безопасности с конденсатором.","блок управления подушками безопасности; конденсатор;"
"Устройство для подогрева высоковязкой нефти в трубопроводе с использованием индукционного нагревателя с сердечником из трансформаторной стали, водяным охлаждением обмотки и автоматическим регулированием температуры по сигналу термопары, с защитой от перегрева и короткого замыкания, с контроллером и дисплеем, с архивацией и сигнализацией.","индукционный нагреватель; сердечник из трансформаторной стали; водяное охлаждение обмотки; автоматическое регулирование температуры; термопара; защита от перегрева; защита от короткого замыкания; контроллер; дисплей; архивация; сигнализация;"
"Аффинный хроматограф для выделения биомолекул включает колонку с иммобилизованным лигандом и детектор.","аффинный хроматограф; выделение биомолекул; колонку с иммобилизованным лигандом; детектор;"
"Катушка зажигания для системы зажигания с бронепроводами.","катушка зажигания; система зажигания; бронепровод;"
"Вентилятор приточный для подачи воздуха в систему вентиляции включает корпус, рабочее колесо и электродвигатель.","вентилятор приточный; подача воздуха; система вентиляции; корпус; рабочее колесо; электродвигатель;"
"Конденсатор паровой турбины включает пучок прямых труб, развальцованных в трубных досках, и систему перегородок, направляющих поток пара в межтрубном пространстве.","конденсатор; паровая турбина; пучок прямых труб; трубная доска; перегородка; поток; пар; межтрубное пространство;"
"Клапан предохранительный прямого действия золотникового типа, настройка на давление пружиной.","клапан предохранительный; прямое действие; золотниковый тип; давление; пружина;"
"Генератор высокого напряжения для рентгеновского аппарата включает высоковольтный трансформатор и выпрямитель.","генератор высокого напряжения; высоковольтный трансформатор; выпрямитель;"
"Буровой насос двухпоршневого двухстороннего действия для промывки скважин имеет гидравлическую часть с цилиндрами и клапанами.","буровой насос двухпоршневого двухстороннего действия; гидравлическая часть с цилиндрами и клапанами;"
"Фотоэлектрическая панель для преобразования солнечной энергии в электрическую включает фотоэлектрические элементы, защитное стекло и раму.","фотоэлектрическая панель; преобразование солнечной энергии; электрическая энергия; фотоэлектрические элементы; защитное стекло; рама;"
"Осадкомер Третьякова для сбора и измерения количества жидких и твердых осадков состоит из сосуда с защитной планкой и измерительного стакана.","осадкомер Третьякова; сосуд с защитной планкой; измерительный стакан;"
"Оповещатель световой табло «Выход» со светодиодной подсветкой указывает направление эвакуации при пожаре.","оповещатель световой; табло; Выход; светодиодная подсветка; эвакуация; пожар;"
"Газовый счетчик с ультразвуковым преобразователем и цифровой обработкой сигнала для повышения точности измерения.","ультразвуковой преобразователь; цифровая обработка сигнала;"
"Горелка для сжигания биогаза в когенерационных установках имеет систему автоматического управления процессом горения.","система автоматического управления процессом горения;"
"Винтовая пара микрометра перемещает измерительный стержень, и размер считывается по шкале стебля и барабана.","винтовая пара; микрометр; стержень; стебель; барабан;"
"Уравновешивающий механизм вагона включает пружинный аккумулятор и гидравлический демпфер для гашения колебаний.","уравновешивающий механизм; вагон; пружинный аккумулятор; гидравлический демпфер; гашение колебаний;"
"Глубиномер для измерения глубины пазов и отверстий включает основание, штангу с измерительным стержнем и нониус.","глубиномер; глубина; паз; отверстие; основание; штанга; измерительный стержень; нониус;"
"Шумомер для измерения уровня звукового давления и оценки шумового загрязнения.","шумомер; уровень звукового давления; шумовое загрязнение;"
"Домкрат гидравлический бутылочного типа, плунжер.","домкрат гидравлический; бутылочный тип; плунжер;"
"Способ переработки полимерных отходов включает пиролиз в реакторе барабанного типа с последующим фракционированием жидких продуктов.","пиролиз; реактор барабанного типа; фракционирование жидких продуктов;"
